,ball skills,physical,postions_Player,defence,mental,shooting,passing,hight,wight,age,value
Lionel Messi,96.0,80.85714285714286,ST,27.5,77.0,86.875,89.0,170,72,34,78000000
Robert Lewandowski,86.5,80.28571428571429,ST,38.5,81.16666666666667,88.125,75.33333333333333,185,81,33,119500000
Kylian Mbappé,92.0,87.42857142857143,ST,30.0,75.83333333333333,80.5,78.0,182,73,22,194000000
Cristiano Ronaldo,88.0,83.0,ST,28.0,75.33333333333333,88.875,81.33333333333333,187,83,36,45000000
Harry Kane,84.0,75.28571428571429,ST,43.0,81.33333333333333,85.5,83.66666666666667,188,89,28,129500000
Erling Haaland,81.5,81.71428571428571,ST,43.5,76.66666666666667,80.875,58.333333333333336,194,94,21,137500000
Romelu Lukaku,80.0,74.14285714285714,ST,35.5,73.16666666666667,81.75,73.33333333333333,191,94,28,93500000
Luis Suárez,84.5,75.71428571428571,ST,43.5,80.33333333333333,86.875,80.0,182,83,34,44500000
Ciro Immobile,81.5,81.0,ST,33.5,74.66666666666667,79.0,62.666666666666664,185,85,31,67500000
Sergio Agüero,87.0,75.57142857142857,ST,29.5,73.33333333333333,82.5,71.33333333333333,173,70,33,51000000
Marcos Llorente,83.0,80.71428571428571,ST,79.5,84.5,71.25,81.0,184,74,26,88000000
Jamie Vardy,80.0,77.71428571428571,ST,48.5,80.5,77.5,67.66666666666667,179,74,34,33000000
Gerard Moreno,85.5,76.42857142857143,ST,42.5,72.5,80.0,77.66666666666667,180,77,29,68000000
Marcus Rashford,85.0,81.85714285714286,ST,41.5,73.83333333333333,80.0,77.0,186,70,23,77500000
Lautaro Martínez,84.0,85.14285714285714,ST,43.0,78.33333333333333,76.125,69.0,174,72,24,78000000
Antoine Griezmann,87.0,82.0,ST,48.5,79.16666666666667,83.5,83.0,176,73,30,53000000
Pierre-Emerick Aubameyang,80.0,78.57142857142857,ST,24.5,71.83333333333333,80.625,72.33333333333333,187,80,32,43500000
Edinson Cavani,77.5,71.85714285714286,ST,46.5,79.66666666666667,82.75,65.0,185,77,34,26000000
André Silva,84.5,77.57142857142857,ST,38.0,77.5,77.125,67.33333333333333,185,84,25,51000000
Nabil Fekir,87.5,80.57142857142857,ST,38.0,74.33333333333333,76.625,80.33333333333333,173,75,28,45000000
Timo Werner,83.0,80.42857142857143,ST,29.5,70.33333333333333,76.125,67.66666666666667,180,76,25,56500000
D. Rolan Carrasco,86.5,78.42857142857143,ST,45.5,70.66666666666667,76.5,77.66666666666667,185,73,28,45000000
Josip Iličić,88.0,68.42857142857143,ST,36.5,72.66666666666667,81.125,81.66666666666667,190,79,33,27000000
Wissam Ben Yedder,87.0,81.14285714285714,ST,33.5,74.5,80.875,74.0,170,68,31,41500000
Iago Aspas,86.5,74.42857142857143,ST,30.0,72.66666666666667,81.625,77.66666666666667,176,67,34,27000000
Dries Mertens,88.0,73.71428571428571,ST,31.5,70.33333333333333,74.75,76.33333333333333,169,61,34,20500000
Ponguillo Ibrahimović,82.0,67.42857142857143,ST,32.5,75.0,83.875,75.0,195,95,40,14500000
Gabriel Jesus,86.0,70.28571428571429,ST,37.5,72.33333333333333,55.25,69.66666666666667,175,73,24,52500000
Wout Weghorst,72.0,68.85714285714286,ST,55.5,73.66666666666667,71.25,53.666666666666664,197,84,29,37000000
Andrej Kramarić,86.5,75.57142857142857,ST,27.5,57.833333333333336,82.25,52.333333333333336,177,73,30,35500000
Duván Wesley David,80.5,76.0,ST,34.0,68.0,73.375,55.0,189,88,30,35500000
Ángel Correa,87.5,78.57142857142857,ST,47.5,75.83333333333333,75.625,74.33333333333333,171,70,26,48000000
Raúl Jiménez,83.0,74.42857142857143,ST,41.5,76.5,78.375,76.33333333333333,188,81,30,35500000
Mauro Icardi,78.0,73.14285714285714,ST,34.5,68.33333333333333,77.875,59.0,181,75,28,37000000
Morata,83.0,77.14285714285714,ST,25.5,69.33333333333333,74.875,70.0,190,84,28,37000000
Edin Džeko,82.0,67.42857142857143,ST,41.0,73.0,74.375,72.66666666666667,193,80,35,15500000
Ferran Torres,82.5,77.28571428571429,ST,29.5,68.33333333333333,72.5,78.33333333333333,184,77,21,68500000
Mitchell-Lawson En-Nesyri,81.5,72.14285714285714,ST,29.0,65.83333333333333,73.0,58.333333333333336,188,78,24,44000000
Alexander Isak,80.5,75.42857142857143,ST,23.0,66.83333333333333,75.75,62.333333333333336,192,77,22,45000000
Richarlison,84.5,80.57142857142857,ST,51.5,75.0,75.875,71.0,181,71,24,46500000
Diogo Jota,85.0,81.42857142857143,ST,55.5,78.0,74.5,72.33333333333333,178,73,24,46000000
Ante Rebić,83.0,77.57142857142857,ST,49.0,72.66666666666667,76.625,74.0,185,78,28,32500000
Kevin Volland,80.0,79.71428571428571,ST,36.0,77.33333333333333,81.125,77.66666666666667,179,85,29,
Luis Muriel,85.5,79.28571428571429,ST,25.0,65.5,80.25,68.66666666666667,179,79,30,30000000
Alexandre Lacazette,82.5,75.71428571428571,ST,42.0,72.33333333333333,78.625,72.33333333333333,175,73,30,30000000
Lars Stindl,83.0,70.0,ST,60.5,78.33333333333333,69.25,79.33333333333333,181,80,33,24000000
Oswaldinato,77.5,76.28571428571429,ST,13.0,64.66666666666667,73.625,66.33333333333333,184,79,29,25500000
Louri Beretta,74.5,68.85714285714286,ST,26.5,66.83333333333333,77.5,58.666666666666664,188,83,29,25500000
Gonçalo Guedes,82.0,76.57142857142857,ST,29.0,70.66666666666667,73.5,75.33333333333333,179,68,24,39000000
Dominic Calvert-Lewin,78.0,79.42857142857143,ST,34.5,69.66666666666667,72.875,61.333333333333336,187,71,24,37500000
Morales,85.5,77.71428571428571,ST,49.0,73.33333333333333,77.25,74.0,180,70,34,16500000
Iñaki Williams,78.5,82.85714285714286,ST,38.0,69.5,72.375,72.0,186,80,27,30000000
Anthony Martial,87.0,78.57142857142857,ST,29.5,66.83333333333333,75.5,70.33333333333333,184,76,25,34500000
Darwin Machís,82.0,83.0,ST,37.5,69.66666666666667,71.25,75.33333333333333,174,74,28,26000000
Andrea Belotti,77.5,78.57142857142857,ST,33.5,70.5,74.875,53.666666666666664,181,84,27,30000000
Arkadiusz Milik,79.0,66.14285714285714,ST,34.5,67.5,80.875,67.0,186,78,27,30000000
Lucas Moura,84.5,84.57142857142857,ST,37.0,72.16666666666667,73.75,69.33333333333333,174,70,29,26000000
Paco Alcácer,80.0,72.71428571428571,ST,33.5,67.5,81.875,63.0,175,70,28,28000000
Danny Ings,79.5,76.28571428571429,ST,41.5,73.66666666666667,78.625,67.33333333333333,178,73,29,26500000
Andy Delort,75.0,81.42857142857143,ST,34.5,70.66666666666667,78.75,71.0,181,83,29,25500000
Marko Arnautović,79.5,78.57142857142857,ST,41.0,72.0,79.25,77.33333333333333,192,83,32,21000000
Burak Nagatomo,73.0,71.0,ST,29.0,74.16666666666667,78.75,66.33333333333333,188,77,36,11000000
Maximiliano Gómez,74.5,72.14285714285714,ST,27.5,69.0,75.625,65.33333333333333,186,84,25,32000000
Victor Osimhen,75.5,81.42857142857143,ST,37.0,67.66666666666667,71.75,62.0,185,78,22,43000000
Donyell Malen,83.0,82.57142857142857,ST,25.5,67.83333333333333,73.125,70.0,179,78,22,33000000
Jonathan Rodríguez,81.0,82.0,ST,31.5,67.33333333333333,72.75,66.66666666666667,177,79,28,19000000
Dele Alli,83.5,72.42857142857143,ST,64.5,76.83333333333333,75.875,78.0,188,80,25,26500000
Gaëtan Laborde,79.5,78.14285714285714,ST,36.0,71.0,74.875,75.0,181,78,27,24500000
Josef Martínez,77.5,81.85714285714286,ST,20.0,63.5,73.625,59.0,170,69,28,21500000
Roger,77.5,75.14285714285714,ST,39.0,68.83333333333333,72.375,63.666666666666664,179,74,30,20500000
Sébastien Haller,76.5,70.28571428571429,ST,50.0,70.5,73.375,55.0,190,82,27,24500000
Eran Mirshad M.,79.0,78.42857142857143,ST,35.5,68.66666666666667,57.375,71.66666666666667,182,71,34,13500000
João Pedro,82.0,74.57142857142857,ST,37.0,73.0,75.25,74.66666666666667,184,73,29,21000000
Cédric Bakambu,75.5,82.42857142857143,ST,30.5,70.5,73.625,70.33333333333333,182,74,30,20500000
Alexis Sánchez,83.5,78.28571428571429,ST,41.0,70.83333333333333,74.0,77.33333333333333,168,62,32,17000000
Raúl García,82.5,64.28571428571429,ST,59.0,81.5,80.625,81.66666666666667,184,83,35,10500000
Gonzalo Higuaín,79.5,65.85714285714286,ST,27.0,64.66666666666667,77.125,68.66666666666667,186,89,33,13500000
André-Pierre Gignac,78.5,71.28571428571429,ST,35.5,73.66666666666667,77.875,72.0,189,85,35,9000000
Cody Gakpo,79.5,78.57142857142857,ST,40.5,66.66666666666667,72.875,72.33333333333333,189,76,22,28000000
Mehdi Taremi,82.0,74.42857142857143,ST,39.5,64.5,71.625,68.66666666666667,187,83,29,18000000
Matheus Cunha,84.5,78.28571428571429,ST,28.5,66.83333333333333,73.5,72.66666666666667,183,76,22,35500000
Moise Kean,78.0,79.28571428571429,ST,38.0,62.166666666666664,69.375,51.666666666666664,182,72,21,39500000
Jonathan Ikoné,82.0,73.28571428571429,ST,34.0,68.16666666666667,66.375,70.66666666666667,175,73,23,25000000
Patrik Schick,81.5,71.42857142857143,ST,34.0,64.16666666666667,73.75,67.66666666666667,191,85,25,23500000
Luka Jović,79.0,76.0,ST,25.5,65.66666666666667,73.75,66.66666666666667,182,85,23,27000000
Luimo Boas Santos,81.5,78.57142857142857,ST,23.5,63.0,75.375,57.333333333333336,176,73,21,21000000
Kasper Dolberg,78.5,72.28571428571429,ST,26.0,60.666666666666664,77.625,63.0,187,84,24,25500000
Ezequiel Ávila,78.0,79.42857142857143,ST,42.0,70.0,72.875,64.0,172,81,27,20500000
Marcus Thuram,81.5,75.71428571428571,ST,46.0,67.66666666666667,69.125,70.33333333333333,192,88,24,27500000
Mata,79.0,65.28571428571429,ST,28.5,68.83333333333333,70.125,59.666666666666664,185,79,32,14000000
Munir,82.5,63.57142857142857,ST,32.5,65.83333333333333,75.625,71.66666666666667,175,69,26,21000000
Paulinho,76.0,73.42857142857143,ST,41.0,71.5,72.0,59.666666666666664,188,84,28,18000000
Allan Saint-Maximin,87.0,72.85714285714286,ST,23.0,58.333333333333336,54.5,69.33333333333333,173,67,24,26500000
Paul Ebere Onuachu,75.5,63.42857142857143,ST,40.5,69.16666666666667,69.25,60.666666666666664,201,93,27,20500000
Rubén García,79.5,73.28571428571429,ST,46.5,64.66666666666667,71.625,79.66666666666667,171,71,28,18500000
De Tomás,80.5,55.42857142857143,ST,33.0,67.5,78.375,67.66666666666667,180,79,27,23000000
Alassane Plea,78.5,75.0,ST,34.5,71.66666666666667,77.5,76.0,181,79,28,18000000
Pozuelo,82.5,70.71428571428571,ST,52.5,73.16666666666667,71.75,76.66666666666667,170,63,30,17000000
Lucas Pérez,78.5,71.71428571428571,ST,24.5,70.0,79.125,72.66666666666667,180,73,33,14000000
Rodrigo,80.0,78.14285714285714,ST,44.5,69.16666666666667,77.0,72.66666666666667,182,77,30,17000000
Callum Wilson,78.5,76.0,ST,38.0,70.83333333333333,70.875,65.0,180,66,29,17500000
Derviševič El Arabi,80.5,71.71428571428571,ST,27.5,66.66666666666667,79.625,65.66666666666667,182,84,34,8500000
Luis Miguel Rodríguez,83.5,72.57142857142857,ST,40.0,74.33333333333333,80.5,73.0,168,71,36,6000000
Ai Kesen,78.5,83.85714285714286,ST,44.0,71.83333333333333,78.375,69.33333333333333,180,77,32,15000000
Chris Wood,73.0,60.42857142857143,ST,34.5,56.333333333333336,65.25,54.0,191,92,29,17500000
Gao Late,80.5,78.42857142857143,ST,39.0,68.16666666666667,75.875,76.0,185,78,30,17000000
Michail Antonio,77.5,82.57142857142857,ST,53.5,72.5,72.625,74.0,178,82,31,15000000
Matías Suárez,42.0,34.42857142857143,ST,22.5,40.0,19.125,25.0,183,75,33,11000000
Olivier Giroud,75.0,59.285714285714285,ST,37.0,72.83333333333333,78.625,65.66666666666667,193,91,35,8500000
Bafétimbi Gomis,76.0,64.57142857142857,ST,27.0,67.66666666666667,76.375,64.33333333333333,186,86,36,7500000
Dušan Vlahović,77.0,70.14285714285714,ST,22.0,61.333333333333336,68.875,56.0,190,75,21,29000000
Mason Greenwood,79.0,64.71428571428571,ST,37.0,66.16666666666667,73.0,72.33333333333333,181,70,20,30500000
Puado,80.0,80.14285714285714,ST,42.5,67.0,67.75,69.66666666666667,177,69,23,28000000
Jonathan David,78.5,80.57142857142857,ST,21.0,59.666666666666664,68.625,71.66666666666667,177,77,21,32000000
Júnior Moraes,77.5,73.14285714285714,ST,17.5,67.0,67.125,55.333333333333336,176,74,34,7000000
Amine Gouiri,80.0,75.0,ST,43.0,69.33333333333333,75.625,74.66666666666667,180,72,21,29000000
Jean-Pierre Nsame,74.0,77.42857142857143,ST,23.5,62.0,70.0,51.0,188,88,28,14500000
Ismaïla Sarr,80.5,76.0,ST,20.5,60.833333333333336,68.25,65.33333333333333,185,76,23,31000000
Aeron Ferreira Sousa,82.0,68.28571428571429,ST,46.0,70.16666666666667,75.25,77.66666666666667,185,74,24,20500000
Tammy Abraham,74.5,67.14285714285714,ST,29.0,61.666666666666664,68.875,57.666666666666664,196,87,23,31500000
Matheus Bardeira,69.5,75.14285714285714,ST,28.5,60.833333333333336,70.25,63.0,187,85,21,17000000
Fredditinho,73.0,78.14285714285714,ST,32.5,64.83333333333333,74.125,62.333333333333336,188,87,33,9000000
Kelechi Iheanacho,78.5,70.71428571428571,ST,37.5,66.16666666666667,74.125,68.33333333333333,185,82,24,20500000
Jarrod Bowen,79.0,73.85714285714286,ST,44.5,65.83333333333333,69.5,72.0,175,70,24,21000000
Karl Toko Ekambi,76.5,77.42857142857143,ST,18.5,50.833333333333336,64.625,49.0,185,74,29,14000000
Ollie Watkins,75.5,82.28571428571429,ST,43.0,62.333333333333336,68.75,65.33333333333333,180,70,25,21000000
Rafael Santos Borré,77.0,80.28571428571429,ST,42.5,74.16666666666667,74.125,70.33333333333333,174,70,26,19000000
Ludovic Ajorque,74.5,63.857142857142854,ST,18.0,67.16666666666667,69.875,55.666666666666664,197,92,27,16500000
Lucas Alario,75.5,71.14285714285714,ST,24.5,66.0,70.125,54.666666666666664,184,78,29,14500000
Alexey Miranchuk,80.0,72.14285714285714,ST,25.0,64.66666666666667,68.625,75.0,182,67,25,17500000
Adama Traoré,87.5,87.0,ST,37.5,63.5,57.125,67.66666666666667,178,72,25,18500000
Moussa Dembélé,73.5,77.71428571428571,ST,26.5,67.0,73.25,56.666666666666664,183,79,25,20500000
Patrick Bamford,74.0,73.71428571428571,ST,38.5,69.5,72.0,64.66666666666667,185,71,28,15000000
Rogelio Funes Mori,75.0,77.14285714285714,ST,40.0,72.66666666666667,73.875,67.66666666666667,186,78,30,14000000
Willian José,77.5,66.71428571428571,ST,36.0,70.33333333333333,74.25,59.666666666666664,189,91,29,14000000
Haris Seferović,72.5,74.14285714285714,ST,45.0,71.33333333333333,74.125,65.66666666666667,189,85,29,14000000
Kike García,77.0,65.0,ST,39.5,71.5,70.0,61.0,186,79,31,12000000
Francesco Caputo,77.0,78.71428571428571,ST,30.0,60.833333333333336,71.625,59.333333333333336,181,74,34,9000000
Ante Budimir,78.5,62.0,ST,32.0,60.666666666666664,65.625,46.333333333333336,190,75,30,14000000
Artem Dzyuba,75.0,65.14285714285714,ST,21.0,70.33333333333333,73.875,65.0,196,91,33,
Ángel,79.5,69.57142857142857,ST,32.5,65.5,71.625,58.333333333333336,172,68,34,7000000
Felipe Caicedo,78.0,71.14285714285714,ST,38.0,71.5,74.375,68.0,183,82,33,11500000
Falcao,76.5,68.42857142857143,ST,37.0,70.0,78.5,63.666666666666664,177,72,35,6000000
Fabio Quagliarella,80.5,66.71428571428571,ST,28.0,64.83333333333333,80.5,72.0,180,79,38,4800000
Negredo,73.0,67.71428571428571,ST,32.0,66.83333333333333,77.25,60.333333333333336,186,86,36,6000000
Noni Madueke,84.0,78.28571428571429,ST,37.0,61.0,65.625,66.66666666666667,182,70,19,23000000
Shon Weissman,71.0,73.71428571428571,ST,26.5,66.0,72.375,63.0,174,79,25,15000000
Boulaye Dia,77.0,42.42857142857143,ST,22.5,59.333333333333336,68.0,37.333333333333336,180,75,24,17000000
Arthur Cabral,74.5,75.42857142857143,ST,27.0,62.5,68.625,60.0,186,89,23,23500000
Luis Javier Suárez,73.0,78.57142857142857,ST,37.0,66.83333333333333,71.25,65.33333333333333,185,74,23,23500000
Vinícius,77.0,66.71428571428571,ST,38.5,71.5,68.75,56.333333333333336,190,83,26,14000000
Musa Barrow,79.0,71.0,ST,32.5,59.0,65.25,65.33333333333333,183,70,22,15000000
Rafael Leão,82.0,73.57142857142857,ST,23.0,62.0,67.125,67.33333333333333,188,81,22,16000000
Patson Daka,75.0,83.85714285714286,ST,21.0,59.833333333333336,68.0,60.0,183,71,22,21500000
Roman Nica,73.5,72.57142857142857,ST,43.0,67.0,68.5,70.66666666666667,191,79,25,14000000
Nicolás González,83.5,75.42857142857143,ST,42.0,67.16666666666667,66.25,63.0,180,72,23,17000000
Saša Kalajdžić,76.0,63.285714285714285,ST,42.5,62.666666666666664,63.625,65.66666666666667,200,90,24,16000000
Martin Terrier,76.5,74.0,ST,32.5,64.5,71.375,74.0,184,73,24,15500000
Arnaut Danjuma,79.0,74.85714285714286,ST,43.5,50.333333333333336,53.75,69.0,178,74,24,
Rafa Mir,72.5,71.85714285714286,ST,42.5,63.666666666666664,73.75,63.666666666666664,191,87,24,21500000
Tino Kadewere,77.5,78.42857142857143,ST,36.5,65.66666666666667,68.875,67.0,183,71,25,14000000
Nuno Padrenda,84.5,74.71428571428571,ST,51.0,70.33333333333333,68.125,78.33333333333333,180,75,25,12000000
Moussa Marega,65.0,77.85714285714286,ST,39.5,69.16666666666667,67.875,60.0,183,83,30,10500000
Braian Romero,0.0,25.571428571428573,ST,19.5,38.0,46.5,0.0,176,73,30,10500000
Melero,74.5,68.57142857142857,ST,72.0,74.16666666666667,73.625,73.66666666666667,183,77,27,12000000
Soares,76.0,75.28571428571429,ST,41.5,71.33333333333333,69.625,57.333333333333336,187,82,30,10500000
Jordan Larsson,79.0,78.28571428571429,ST,21.5,68.16666666666667,73.875,72.0,175,68,24,21500000
Henry Martín,37.5,69.28571428571429,ST,33.0,43.5,68.125,63.0,177,80,28,
Breel Embolo,75.5,77.14285714285714,ST,51.5,71.0,69.625,69.66666666666667,187,88,24,16000000
Mislav Oršić,74.5,80.0,ST,56.5,67.33333333333333,77.375,70.0,179,69,28,10500000
Mattia Zinga,80.5,70.28571428571429,ST,58.5,71.83333333333333,64.25,76.33333333333333,177,63,26,14000000
Luca Waldschmidt,75.5,71.85714285714286,ST,26.0,62.666666666666664,74.0,67.66666666666667,181,74,25,15500000
Ihlas Bebou,79.5,78.57142857142857,ST,30.5,61.666666666666664,67.125,67.0,185,80,27,11500000
Serhou Guirassy,77.5,71.28571428571429,ST,35.5,65.66666666666667,73.375,64.0,187,82,25,15000000
Abderrazak Hamdallah,77.5,71.57142857142857,ST,27.5,64.0,73.125,66.0,180,82,30,10500000
Frank Acheampong,78.5,87.57142857142857,ST,49.5,65.66666666666667,67.5,66.66666666666667,170,60,28,11000000
Santi Mina,77.5,74.28571428571429,ST,42.5,69.83333333333333,71.25,69.66666666666667,181,77,25,15000000
Neal Maupay,73.0,73.14285714285714,ST,42.5,67.5,72.0,64.66666666666667,173,69,25,16000000
Davinder.S Poulsen,75.0,76.28571428571429,ST,56.0,72.66666666666667,66.875,64.66666666666667,192,84,27,12500000
Carlos Bacca,76.5,59.42857142857143,ST,28.0,65.83333333333333,71.875,61.0,181,77,35,5000000
Leandro Trossard,78.0,78.71428571428571,ST,30.5,61.0,74.0,74.0,172,67,26,12500000
Zé Luís,77.0,76.42857142857143,ST,27.5,67.33333333333333,71.875,51.333333333333336,184,80,30,10500000
Gregoire Defrel,0.0,65.85714285714286,ST,32.5,65.66666666666667,0.0,42.333333333333336,179,77,30,
Vincent Aboubakar,80.0,73.85714285714286,ST,33.5,69.66666666666667,74.5,67.66666666666667,184,82,29,10500000
Wahbi Khazri,77.5,65.85714285714286,ST,38.5,73.5,74.375,74.0,176,82,30,10500000
Martin Braithwaite,79.5,77.42857142857143,ST,32.5,67.5,73.375,69.33333333333333,177,73,30,10500000
Salomón Rondón,71.0,64.42857142857143,ST,28.5,67.16666666666667,73.5,61.666666666666664,186,86,32,9000000
Bas Dost,70.0,50.0,ST,51.5,71.66666666666667,73.0,49.333333333333336,196,83,32,8500000
A Lan,81.0,81.0,ST,27.5,63.833333333333336,74.875,65.66666666666667,178,64,32,9000000
Alan Kardec,72.0,65.71428571428571,ST,27.5,61.166666666666664,72.25,64.33333333333333,190,80,32,8500000
Stevan Jovetić,80.0,65.71428571428571,ST,31.5,65.66666666666667,78.375,72.0,183,79,31,9000000
Kévin Gameiro,75.0,76.28571428571429,ST,38.5,69.0,74.875,72.33333333333333,172,70,34,5000000
Joselu,76.5,52.42857142857143,ST,25.0,63.5,74.5,64.66666666666667,192,80,31,9000000
Jorge Molina,73.5,43.57142857142857,ST,38.5,73.0,75.5,62.333333333333336,188,72,39,3600000
Soldado,77.5,60.42857142857143,ST,39.5,72.83333333333333,75.875,67.66666666666667,180,74,36,3600000
Darwin Núñez,73.5,77.71428571428571,ST,35.5,71.16666666666667,70.875,64.33333333333333,187,81,22,17000000
Charles De Ketelaere,80.5,72.42857142857143,ST,52.0,69.33333333333333,71.875,75.0,192,79,20,16500000
Adam Hložek,77.0,75.85714285714286,ST,27.5,65.5,71.0,69.33333333333333,188,86,19,16000000
Julián Álvarez,0.0,21.857142857142858,ST,0.0,12.166666666666666,44.125,0.0,170,71,21,
Loren,75.5,69.0,ST,30.0,64.83333333333333,72.375,51.666666666666664,188,82,27,9000000
Myron Boadu,75.0,80.85714285714286,ST,25.5,61.333333333333336,65.875,58.0,183,67,20,16500000
Brais Méndez,76.5,64.28571428571429,ST,49.0,67.66666666666667,69.125,74.66666666666667,187,76,24,12000000
Toni Martínez,74.0,70.0,ST,17.0,62.333333333333336,66.25,56.0,187,84,24,15000000
Amath Ndiaye,79.5,77.85714285714286,ST,46.5,66.66666666666667,66.375,65.33333333333333,173,70,25,10000000
Wesley,74.0,64.71428571428571,ST,36.0,69.5,69.375,66.0,191,93,24,11000000
Dodi Lukébakio,80.5,74.28571428571429,ST,30.0,58.0,69.125,67.0,187,77,24,11500000
Borja Mayoral,78.5,73.14285714285714,ST,34.5,65.33333333333333,71.25,68.0,182,74,24,11500000
Ché Adams,74.0,78.71428571428571,ST,37.5,65.66666666666667,70.125,59.333333333333336,178,70,25,11500000
Denis Bouanga,0.0,74.57142857142857,ST,36.0,41.333333333333336,63.5,43.666666666666664,180,70,26,
Stephy Mavididi,76.5,75.42857142857143,ST,22.5,58.333333333333336,63.75,68.66666666666667,182,71,23,11500000
Peter Olayinka,75.5,79.28571428571429,ST,55.5,70.83333333333333,68.75,69.33333333333333,188,77,25,9500000
Emmanuel Boateng,72.5,86.14285714285714,ST,35.5,63.333333333333336,66.875,56.333333333333336,175,70,25,10500000
Omar Al Somah,73.5,70.42857142857143,ST,32.0,67.16666666666667,76.625,67.66666666666667,190,86,32,6000000
Krzysztof Piątek,72.5,72.57142857142857,ST,33.5,61.333333333333336,68.75,50.0,183,77,26,10000000
Adam Armstrong,74.0,83.42857142857143,ST,29.5,69.33333333333333,71.0,63.333333333333336,172,69,24,12000000
Alfredo Morelos,74.5,79.0,ST,42.5,68.83333333333333,69.75,64.33333333333333,177,79,25,11000000
Juan Dinenno,70.5,68.14285714285714,ST,20.0,60.0,60.875,54.0,186,83,27,
Islam Slimani,72.0,61.285714285714285,ST,45.0,74.5,72.375,73.33333333333333,188,83,33,4800000
Moses Simon,0.0,85.42857142857143,ST,30.0,47.666666666666664,54.375,0.0,168,69,26,
Alexander Sørloth,72.5,72.28571428571429,ST,31.0,68.33333333333333,71.625,64.0,194,90,25,10000000
Keita Baldé,79.5,80.0,ST,23.0,63.0,68.75,70.66666666666667,184,77,26,10000000
Aleksandar Mitrović,71.0,61.285714285714285,ST,24.5,53.333333333333336,49.875,48.333333333333336,189,90,27,
Andrea Petagna,79.0,70.71428571428571,ST,33.5,64.16666666666667,68.5,66.66666666666667,190,85,26,10000000
