,ball skills,physical,postions_Player,defence,mental,shooting,passing,hight,wight,age,value
Bruno Petković,84.0,73.71428571428571,ST,40.0,60.333333333333336,75.25,71.66666666666667,193,88,27,9000000
Silvio Romero,77.5,52.285714285714285,ST,43.5,69.16666666666667,72.125,0.0,177,76,33,6000000
Divock Origi,76.5,73.57142857142857,ST,20.0,66.0,66.125,67.0,189,90,26,10000000
Hwang Ui Jo,74.5,75.0,ST,37.5,66.0,71.75,62.0,185,82,29,7500000
Jamie Maclaren,70.5,82.14285714285714,ST,28.5,70.5,71.375,60.333333333333336,179,76,28,8000000
Ivan Toney,70.5,80.14285714285714,ST,43.0,70.83333333333333,71.125,57.333333333333336,187,70,25,10500000
Munas Dabbur,76.5,75.57142857142857,ST,29.5,60.0,72.375,61.666666666666664,183,78,29,7500000
Nicolas López,79.0,74.85714285714286,ST,19.5,59.166666666666664,71.375,69.33333333333333,178,75,28,8000000
Joel Campbell,77.0,77.28571428571429,ST,36.0,67.66666666666667,71.125,73.33333333333333,178,78,29,7500000
Michy Batshuayi,76.5,73.85714285714286,ST,31.5,64.16666666666667,70.25,55.0,185,78,28,8000000
M'Baye Niang,76.0,72.57142857142857,ST,27.0,61.833333333333336,73.75,64.0,188,83,26,10000000
Simone Nevitt,75.0,77.28571428571429,ST,47.0,70.5,72.75,54.666666666666664,186,78,30,7500000
Nathan Redmond,80.5,71.28571428571429,ST,29.5,59.5,63.375,68.33333333333333,173,69,27,8000000
Giovanni Moreno,76.0,76.57142857142857,ST,51.0,71.0,76.375,70.66666666666667,192,83,35,3200000
Andriy Cardoso Mané,80.5,58.714285714285715,ST,36.0,72.66666666666667,77.875,76.33333333333333,190,83,31,6000000
Teemu Pukki,75.0,73.57142857142857,ST,29.5,69.83333333333333,65.625,54.666666666666664,180,80,31,6500000
Fedor Smolov,74.5,73.42857142857143,ST,27.0,66.5,73.75,68.33333333333333,186,83,31,6500000
Cristhian Stuani,70.5,61.57142857142857,ST,47.0,68.0,75.25,68.66666666666667,186,76,34,3600000
Eric Maxim Choupo-Moting,79.5,71.71428571428571,ST,33.5,65.0,68.875,67.66666666666667,191,90,32,6000000
Nordin Amrabat,76.5,75.28571428571429,ST,50.0,70.0,72.75,73.66666666666667,179,77,34,3500000
Diego Valeri,79.0,65.14285714285714,ST,44.0,67.66666666666667,76.25,76.33333333333333,178,73,35,3100000
Ivan Schranz,72.5,76.0,ST,24.5,65.33333333333333,71.125,58.666666666666664,185,73,28,6000000
Marcos André,73.5,74.28571428571429,ST,34.5,58.333333333333336,66.875,59.0,184,78,25,
Kodjo Fo-Doh Laba,67.0,77.85714285714286,ST,18.0,62.333333333333336,68.25,62.333333333333336,183,82,29,4200000
Silas,80.5,76.14285714285714,ST,51.5,65.0,62.75,61.333333333333336,189,79,23,12500000
Manu Vallejo,75.5,75.28571428571429,ST,44.0,59.333333333333336,73.0,65.33333333333333,167,72,24,8500000
Caleb Ekuban,74.0,80.71428571428571,ST,22.0,63.5,67.625,66.33333333333333,182,80,27,6000000
José Juan Macías,76.0,67.57142857142857,ST,20.0,56.166666666666664,65.75,58.666666666666664,177,73,22,12500000
Mama Baldé,71.5,83.0,ST,46.5,68.0,66.75,68.66666666666667,176,69,25,7000000
Mergim Berisha,75.0,73.28571428571429,ST,26.5,66.16666666666667,72.5,68.66666666666667,186,79,23,8500000
Juan Camilo Hernández,72.5,75.85714285714286,ST,43.5,63.833333333333336,69.125,63.333333333333336,176,73,22,9000000
Alexandr Sobolev,72.5,69.14285714285714,ST,42.5,62.833333333333336,69.875,50.666666666666664,195,85,24,8500000
Alberth Elis,78.0,78.85714285714286,ST,24.0,66.0,66.125,60.333333333333336,180,73,25,7500000
F. Villalba Wissa,76.5,77.71428571428571,ST,24.0,63.0,65.125,65.33333333333333,176,74,25,7500000
Henry Onyekuru,79.0,80.14285714285714,ST,37.5,57.0,64.875,65.33333333333333,175,70,24,8500000
Fernando da Silva L. S.,73.0,67.85714285714286,ST,26.5,59.833333333333336,67.0,54.0,185,83,33,3600000
Andraž Šporar,72.5,73.85714285714286,ST,13.0,57.5,69.5,64.33333333333333,186,82,27,6500000
Umar Sadiq,74.5,51.714285714285715,ST,28.5,53.833333333333336,66.625,54.0,192,75,24,9000000
Taiwo Awoniyi,70.5,63.285714285714285,ST,26.0,37.666666666666664,37.375,61.333333333333336,183,85,24,
Formosandrinho,72.5,69.85714285714286,ST,17.0,59.5,69.875,60.0,178,72,29,5500000
Dênildo Stein,75.5,64.85714285714286,ST,22.5,62.0,71.25,59.333333333333336,180,71,37,1900000
Alexis Canelo,72.5,74.0,ST,23.0,62.5,66.625,64.66666666666667,178,80,29,5500000
Fábio Abreu,71.5,76.14285714285714,ST,23.0,56.833333333333336,68.0,49.333333333333336,182,76,28,6000000
Florian Sotoca,71.5,76.57142857142857,ST,38.5,67.66666666666667,69.0,69.0,187,77,30,5500000
Takumi Minamino,79.5,77.14285714285714,ST,31.0,66.66666666666667,69.125,66.66666666666667,174,67,26,6500000
Hwang Hee Chan,77.5,79.14285714285714,ST,25.5,63.666666666666664,67.0,69.33333333333333,177,77,25,7500000
Denis Bouanga,0.0,74.57142857142857,ST,36.0,41.333333333333336,63.5,43.666666666666664,180,70,26,
Hwang Hee Chan,77.5,79.14285714285714,ST,25.5,63.666666666666664,67.0,69.33333333333333,177,77,25,7500000
Cesinha,75.0,75.0,ST,31.5,61.5,72.0,71.0,177,74,31,4700000
Gyrano Kerk,73.5,83.71428571428571,ST,32.0,62.833333333333336,61.125,64.33333333333333,184,82,25,
Habib Diallo,72.5,73.57142857142857,ST,15.0,58.333333333333336,67.625,52.666666666666664,186,79,26,7500000
Walter Bou,75.0,77.57142857142857,ST,40.5,71.16666666666667,71.25,66.66666666666667,174,74,28,6000000
François Kamano,76.5,72.28571428571429,ST,36.0,62.166666666666664,67.875,65.0,175,74,25,7500000
Vedat Muriqi,71.5,60.42857142857143,ST,24.0,63.166666666666664,66.25,49.0,194,86,27,6500000
Enes Ünal,76.5,73.0,ST,33.5,63.166666666666664,73.75,59.0,187,78,24,9000000
Mariano,70.5,77.57142857142857,ST,40.5,67.5,76.5,55.666666666666664,180,76,28,6000000
Wu Lei,75.5,78.57142857142857,ST,38.0,65.16666666666667,69.375,67.66666666666667,174,66,29,5500000
Uroš Đurđević,68.5,78.85714285714286,ST,25.5,68.66666666666667,70.5,50.666666666666664,182,80,27,6500000
Sebastián Driussi,74.0,76.57142857142857,ST,22.5,59.333333333333336,65.875,72.33333333333333,179,79,25,8000000
Enner Valencia,72.0,83.0,ST,45.0,62.666666666666664,61.75,65.0,177,74,31,4800000
Carlos Júnior,77.5,76.85714285714286,ST,48.5,55.666666666666664,65.375,65.66666666666667,172,69,26,6500000
Giovanni Simeone,74.5,74.71428571428571,ST,36.5,64.0,71.0,54.333333333333336,181,81,26,7500000
Gonçalo Paciência,76.5,69.85714285714286,ST,25.5,71.5,71.25,49.666666666666664,184,79,27,6500000
Lucas Janson,78.0,80.71428571428571,ST,31.5,62.833333333333336,66.25,67.33333333333333,169,67,27,6000000
Julio Furch,71.5,30.0,ST,32.0,53.833333333333336,59.125,59.0,188,88,32,
Darío Benedetto,74.0,75.0,ST,35.0,67.33333333333333,72.625,64.33333333333333,177,75,31,4800000
Federico Di Francesco,82.5,70.14285714285714,ST,41.0,60.666666666666664,67.375,73.66666666666667,171,75,27,6000000
Florian Niederlechner,73.5,72.0,ST,31.0,68.5,68.75,60.666666666666664,187,86,30,5500000
André Hahn,72.0,73.71428571428571,ST,52.5,70.83333333333333,66.75,68.66666666666667,185,80,31,5500000
Sam Larsson,80.0,71.0,ST,35.5,64.33333333333333,67.5,70.66666666666667,180,70,28,5500000
Renaud Ripart,73.5,76.0,ST,64.5,71.0,70.375,68.0,181,73,28,6000000
Luciano Vietto,80.5,74.0,ST,46.5,65.33333333333333,71.875,72.66666666666667,173,61,27,6000000
Marko Livaja,78.5,72.71428571428571,ST,30.5,68.33333333333333,71.875,60.0,182,80,28,6000000
Leonardo Pavoletti,70.0,65.14285714285714,ST,32.5,62.666666666666664,65.75,45.666666666666664,188,85,32,4600000
Niclas Füllkrug,72.0,64.28571428571429,ST,35.5,63.166666666666664,74.25,59.333333333333336,189,83,28,6000000
Mohamed Elyounoussi,76.5,74.42857142857143,ST,57.5,66.33333333333333,70.875,70.66666666666667,178,70,27,6000000
Fabián Castillo,80.5,80.14285714285714,ST,44.0,64.66666666666667,69.25,61.666666666666664,174,74,29,5500000
Gianluca Caprari,80.0,71.14285714285714,ST,17.5,54.833333333333336,66.25,67.33333333333333,176,72,28,6000000
Nicola Sansone,80.0,71.57142857142857,ST,45.0,66.33333333333333,71.625,69.33333333333333,173,63,30,7500000
Mark Uth,76.5,71.57142857142857,ST,36.5,65.83333333333333,75.0,70.33333333333333,185,72,30,5500000
Manolo Gabbiadini,78.0,65.71428571428571,ST,22.5,61.833333333333336,75.375,68.66666666666667,181,75,29,5500000
Dani Rodríguez,74.0,73.71428571428571,ST,63.5,68.0,69.375,72.66666666666667,178,71,33,3500000
Samu Sáiz,39.0,41.0,ST,15.0,57.0,58.375,23.666666666666668,174,68,30,5500000
Juanmi,76.5,68.57142857142857,ST,26.5,62.833333333333336,68.75,68.66666666666667,172,69,28,5500000
Jordan Ayew,78.0,74.71428571428571,ST,44.5,66.83333333333333,73.625,68.0,182,81,30,5500000
Alexandr Kokorin,78.0,74.14285714285714,ST,39.5,67.16666666666667,72.125,69.0,184,83,30,5500000
Fidel Martínez,75.5,77.28571428571429,ST,22.5,63.0,68.5,64.66666666666667,179,74,31,4800000
Ulises Dávila,77.0,76.71428571428571,ST,42.0,66.16666666666667,73.125,70.66666666666667,172,65,30,5500000
Júnior Negão,73.0,57.42857142857143,ST,33.5,59.0,69.5,55.0,187,75,34,2700000
Ashley Barnes,73.0,67.71428571428571,ST,44.5,71.66666666666667,72.125,68.0,186,84,31,4800000
Nikola Kalinić,74.5,63.285714285714285,ST,38.0,68.83333333333333,68.875,60.666666666666664,187,79,33,3600000
Joshua King,76.5,72.28571428571429,ST,36.0,67.0,71.5,66.33333333333333,184,82,29,5500000
Odion Ighalo,74.5,69.85714285714286,ST,41.0,65.83333333333333,71.625,63.666666666666664,183,73,32,4600000
Romain Alessandrini,77.5,75.28571428571429,ST,49.0,68.5,74.125,70.33333333333333,173,70,32,4600000
Christian Benteke,70.5,63.42857142857143,ST,26.5,63.666666666666664,73.0,58.333333333333336,190,83,30,5500000
Simon Terodde,68.0,63.42857142857143,ST,39.5,64.33333333333333,67.875,51.333333333333336,192,83,33,3600000
Nils Petersen,66.0,62.42857142857143,ST,37.5,67.0,71.125,57.0,188,82,32,4600000
Óscar Cardozo,67.5,48.42857142857143,ST,25.0,64.83333333333333,78.125,57.333333333333336,193,87,38,1900000
Stefano Okaka,73.5,64.85714285714286,ST,27.0,63.166666666666664,67.75,55.0,186,90,32,4800000
Marcus Berg,72.5,71.28571428571429,ST,33.0,64.66666666666667,68.875,59.666666666666664,184,74,35,2700000
Gonzalo Bergessio,67.5,56.857142857142854,ST,29.5,66.83333333333333,72.75,55.333333333333336,179,74,37,1900000
Ignacio Scocco,80.0,69.14285714285714,ST,34.0,68.83333333333333,76.25,70.0,176,71,36,1900000
Mauro Boselli,72.0,64.0,ST,37.0,64.0,70.0,62.666666666666664,185,75,36,1900000
Ryan Babel,78.5,74.71428571428571,ST,39.0,62.5,71.625,70.33333333333333,185,85,34,2600000
José Sand,71.0,57.42857142857143,ST,33.0,70.66666666666667,74.5,56.0,182,79,41,1900000
Lisandro López,74.5,66.57142857142857,ST,48.5,69.66666666666667,77.0,67.66666666666667,174,74,38,1900000
Luis Jiménez,77.0,64.71428571428571,ST,40.0,69.33333333333333,72.5,76.33333333333333,183,75,37,1800000
Tiago Tomás,75.0,40.285714285714285,ST,17.5,38.333333333333336,54.0,37.0,183,73,19,9000000
Christos Tzolis,75.5,75.57142857142857,ST,31.5,62.666666666666664,68.75,66.33333333333333,179,73,19,10000000
Terem Moffi,72.0,60.42857142857143,ST,20.5,43.5,65.375,51.333333333333336,188,82,22,9500000
Mostafa Mohamed,71.0,73.85714285714286,ST,32.0,60.666666666666664,68.75,55.333333333333336,185,78,23,8500000
Jonathan Dos Santos,69.5,75.42857142857143,ST,29.5,65.83333333333333,65.5,53.666666666666664,178,79,29,4200000
Giacomo Raspadori,78.0,70.0,ST,22.0,58.333333333333336,68.75,57.333333333333336,172,69,21,10500000
Alan Velasco,38.5,0.0,ST,22.5,31.5,24.75,0.0,167,63,19,
Beto,73.5,62.285714285714285,ST,18.5,60.0,66.5,53.0,194,88,23,8500000
Kodjo Fo-Doh Laba,67.0,77.85714285714286,ST,18.0,62.333333333333336,68.25,62.333333333333336,183,82,29,4200000
Barrenetxea,78.5,75.0,ST,22.0,54.666666666666664,60.0,63.0,175,74,19,9000000
Kyogo Furuhashi,74.0,78.28571428571429,ST,45.5,67.16666666666667,71.75,67.66666666666667,170,63,26,5500000
Kangin Lee,79.0,64.85714285714286,ST,24.5,63.5,74.25,72.66666666666667,173,68,20,9500000
Aitor Ruibal,77.5,67.28571428571429,ST,41.0,57.833333333333336,60.75,69.33333333333333,176,75,25,5500000
Timothy Weah,75.0,75.14285714285714,ST,42.5,64.66666666666667,64.875,65.33333333333333,183,66,21,8500000
Ignatius Ganago,75.5,76.28571428571429,ST,28.0,58.833333333333336,64.25,60.666666666666664,179,82,22,6500000
Georgios Giakoumakis,68.5,71.0,ST,25.5,60.5,67.75,43.0,185,84,26,5500000
Abel Ruiz,74.5,71.0,ST,41.5,58.5,66.125,57.333333333333336,182,73,21,9500000
Emmanuel Dennis,75.0,81.42857142857143,ST,41.5,58.0,64.75,63.0,175,66,23,6500000
Ermedin Demirović,72.5,68.85714285714286,ST,38.5,62.666666666666664,65.5,58.666666666666664,185,80,23,
Randal Kolo Muani,79.5,72.0,ST,26.0,54.333333333333336,65.375,57.333333333333336,187,73,22,9500000
Germán Berterame,73.5,43.42857142857143,ST,31.5,41.333333333333336,64.0,62.0,178,72,22,9500000
Eddie Nketiah,73.5,74.14285714285714,ST,20.5,58.666666666666664,63.375,51.333333333333336,175,72,22,8500000
Sam Lammers,77.5,72.57142857142857,ST,29.0,62.333333333333336,68.5,56.0,191,77,24,6000000
Jean-Philippe Mateta,73.5,67.71428571428571,ST,30.0,61.833333333333336,65.375,48.333333333333336,192,88,24,6500000
Mario González,74.5,71.14285714285714,ST,16.5,57.833333333333336,60.75,63.0,184,76,25,6500000
Christian Kouamé,78.0,76.14285714285714,ST,34.5,60.833333333333336,63.25,62.0,185,70,23,6500000
Fedor Chalov,75.0,71.85714285714286,ST,24.5,64.83333333333333,65.5,65.66666666666667,180,77,23,6500000
Alexis Vega,80.0,77.0,ST,31.5,61.0,67.5,71.33333333333333,173,77,23,9500000
Thomas Henry,68.0,63.714285714285715,ST,39.0,66.66666666666667,68.125,61.666666666666664,192,86,27,5000000
Landry Dimata,70.0,74.28571428571429,ST,39.0,64.0,65.75,65.0,185,81,24,6500000
Carlos González,67.5,60.42857142857143,ST,31.0,47.5,43.5,51.333333333333336,183,80,28,4300000
Cyle Larin,72.0,69.14285714285714,ST,19.5,60.666666666666664,63.125,54.666666666666664,188,90,26,5000000
Lucas Gamba,76.0,81.28571428571429,ST,25.5,57.5,68.0,67.0,170,70,34,2100000
Gianluca Scamacca,73.0,67.57142857142857,ST,31.5,57.0,71.75,45.333333333333336,195,85,22,9500000
Vincent Janssen,68.0,73.71428571428571,ST,41.0,67.16666666666667,66.375,57.666666666666664,184,79,27,4900000
Pere Milla,77.5,70.0,ST,35.0,58.333333333333336,67.375,67.66666666666667,184,72,29,4300000
Daniele Verde,77.5,69.57142857142857,ST,39.0,60.833333333333336,70.625,64.66666666666667,168,64,25,5500000
Kevin Lasagna,75.0,76.57142857142857,ST,23.0,59.5,66.0,58.666666666666664,186,80,29,4300000
Steve Mounié,71.0,69.0,ST,40.0,66.33333333333333,66.125,62.333333333333336,190,83,27,5000000
Vedat Muriqi,71.5,60.42857142857143,ST,24.0,63.166666666666664,66.25,49.0,194,86,27,6500000
Smail Prevljak,71.0,70.28571428571429,ST,20.5,62.5,69.25,60.666666666666664,187,80,26,5500000
Joelinton,74.5,73.85714285714286,ST,38.5,68.0,63.0,59.0,186,81,25,6000000
Juan Martín Lucero,70.0,75.85714285714286,ST,28.0,61.166666666666664,66.0,62.0,182,75,29,4200000
Everaldo,70.5,75.0,ST,41.0,62.0,68.0,63.0,181,80,30,4200000
Lucas Boyé,79.5,73.14285714285714,ST,44.0,67.66666666666667,64.875,60.0,183,79,25,6500000
Ezequiel Ponce,73.5,76.0,ST,34.5,58.166666666666664,69.125,58.0,180,80,24,6500000
Nicolás Orsini,68.0,77.85714285714286,ST,29.0,60.5,63.125,56.333333333333336,191,92,27,5000000
Mbaye Diagne,65.5,59.57142857142857,ST,23.0,59.666666666666664,70.875,54.0,191,86,29,4200000
Antonio Sanabria,75.0,73.71428571428571,ST,31.0,58.5,70.125,67.66666666666667,181,73,25,6500000
Ignacio Pussetto,78.0,72.14285714285714,ST,21.5,53.666666666666664,62.75,65.66666666666667,180,74,25,6000000
Simy,60.0,58.0,ST,24.0,63.166666666666664,67.5,41.666666666666664,198,84,29,4200000
Sargis Adamyan,77.0,75.28571428571429,ST,39.0,61.333333333333336,63.5,63.0,184,78,28,4200000
Khama Billiat,79.0,76.0,ST,43.5,65.66666666666667,70.375,69.33333333333333,170,60,31,4100000
Mbwana Ally Samatta,70.5,77.42857142857143,ST,30.0,61.5,69.375,63.333333333333336,183,80,28,4300000
Jean-David Beauguel,73.0,64.0,ST,24.0,62.5,66.625,48.666666666666664,196,98,29,4200000
Kieffer Moore,70.0,70.28571428571429,ST,43.0,63.5,66.875,57.0,196,83,29,4300000
Michael Rangel,69.0,67.57142857142857,ST,32.5,62.0,73.5,53.0,187,80,30,4100000
Opa Nguette,76.5,74.71428571428571,ST,41.5,61.666666666666664,62.75,66.66666666666667,182,76,27,4600000
Júlio Tavares,70.5,68.0,ST,25.5,65.83333333333333,67.875,51.666666666666664,188,82,32,3400000
Romell Quioto,70.5,78.85714285714286,ST,16.5,65.66666666666667,69.375,68.0,178,69,30,4200000
Derlis González,73.0,77.42857142857143,ST,52.5,61.333333333333336,63.5,70.0,175,75,27,4500000
Rubén Sobrino,74.0,69.42857142857143,ST,35.5,61.666666666666664,71.125,59.0,185,73,29,4200000
Robin Quaison,78.5,71.14285714285714,ST,39.0,67.5,68.625,67.66666666666667,183,77,28,4600000
Sebastian Andersson,71.0,64.14285714285714,ST,25.5,63.666666666666664,64.625,47.333333333333336,190,86,30,4200000
Serdar Dursun,75.0,65.42857142857143,ST,31.0,61.833333333333336,68.375,54.0,190,80,30,4200000
Jed Wallace,75.5,74.71428571428571,ST,47.0,64.33333333333333,65.875,69.33333333333333,178,70,27,4500000
Anthony Lozano,69.0,73.71428571428571,ST,36.5,62.5,64.5,60.666666666666664,185,74,28,4300000
Djaniny,77.5,77.71428571428571,ST,26.5,65.0,66.625,66.66666666666667,190,78,30,4100000
Stéphane Bahoken,36.5,53.57142857142857,ST,17.5,46.166666666666664,53.875,33.333333333333336,185,88,29,
Mauro Quiroga,69.5,71.28571428571429,ST,23.5,61.0,67.5,49.0,188,80,31,3600000
Camilo Sanvezzo,78.0,54.0,ST,29.5,60.0,75.625,66.33333333333333,170,70,33,3400000
Bryan Linssen,72.0,77.28571428571429,ST,40.0,67.83333333333333,71.75,66.66666666666667,170,64,31,4100000
Matěj Vydra,75.0,76.42857142857143,ST,34.0,62.5,71.5,66.33333333333333,180,71,29,4200000
Karim Ansarifard,70.5,72.85714285714286,ST,36.0,66.83333333333333,71.625,61.333333333333336,187,80,31,3600000
Ishak Belfodil,76.5,65.71428571428571,ST,34.5,65.83333333333333,71.75,66.33333333333333,192,86,29,4200000
Mattia Destro,73.0,67.71428571428571,ST,25.0,58.333333333333336,70.75,56.0,182,80,30,4100000
Cenk Tosun,72.5,70.14285714285714,ST,33.5,65.5,75.625,64.33333333333333,183,78,30,4100000
Romain Hamouma,0.0,67.42857142857143,ST,39.5,66.83333333333333,64.0,48.666666666666664,178,76,34,
Johnathan,73.0,79.57142857142857,ST,35.5,61.333333333333336,72.5,58.0,184,75,31,3600000
Fidel Martínez,75.5,77.28571428571429,ST,22.5,63.0,68.5,64.66666666666667,179,74,31,4800000
Diego Farías,77.5,72.42857142857143,ST,41.0,59.0,67.5,65.66666666666667,173,66,31,3500000
Bruno Fornaroli,76.0,79.57142857142857,ST,34.5,65.0,70.5,57.666666666666664,175,68,34,2700000
Fernandinho Silva,76.0,79.85714285714286,ST,55.5,61.833333333333336,68.375,66.0,173,74,35,1700000
Jay Rodriguez,73.5,69.42857142857143,ST,39.0,64.33333333333333,70.875,67.66666666666667,185,84,32,3600000
Marco Ruben,71.0,73.42857142857143,ST,38.0,67.5,69.375,61.333333333333336,178,75,34,2100000
Goran Pandev,82.0,57.42857142857143,ST,31.5,64.16666666666667,75.875,69.66666666666667,184,75,38,1400000
Abdallah Sima,69.5,77.14285714285714,ST,38.0,65.0,68.25,61.666666666666664,188,74,20,7500000
Evanilson,71.5,67.71428571428571,ST,21.0,51.666666666666664,68.0,54.333333333333336,183,80,22,7000000
Facundo Farías,0.0,12.571428571428571,ST,16.5,40.333333333333336,29.625,22.0,173,73,19,
Ercan Kara,62.5,69.14285714285714,ST,24.5,59.166666666666664,70.875,43.333333333333336,192,89,25,4100000
Arnaud Kalimuendo,73.5,72.85714285714286,ST,26.5,58.833333333333336,64.5,48.333333333333336,175,78,19,6500000
Fer Niño,68.5,68.71428571428571,ST,30.5,57.5,65.0,59.333333333333336,190,78,20,6500000
Brian Brobbey,68.0,79.42857142857143,ST,25.5,60.333333333333336,61.375,52.333333333333336,180,78,19,7500000
Randy Nteka,73.0,78.71428571428571,ST,53.0,69.66666666666667,65.875,64.33333333333333,189,75,23,7000000
Sekou Koita,74.0,84.42857142857143,ST,33.5,63.166666666666664,69.375,60.666666666666664,173,67,21,7000000
Florian Krüger,73.0,74.28571428571429,ST,18.5,58.5,60.0,52.333333333333336,186,81,22,7000000
Léandre Tawamba,70.5,68.0,ST,20.5,59.166666666666664,64.625,48.666666666666664,189,95,31,2600000
Sancet,77.5,64.14285714285714,ST,46.5,65.5,65.125,66.0,188,72,21,7000000
Braian Samudio,75.0,56.285714285714285,ST,33.5,18.5,55.75,42.0,180,79,25,
Fashion Sakala,73.0,81.14285714285714,ST,24.5,58.333333333333336,66.375,56.333333333333336,178,72,24,4700000
Enric Gallego,70.5,60.142857142857146,ST,19.5,61.0,66.625,51.0,190,79,35,1500000
Armand Laurienté,76.5,67.0,ST,32.5,57.5,70.125,67.66666666666667,171,59,22,6000000
Dani Gómez,74.0,70.71428571428571,ST,35.0,58.0,64.25,58.0,178,69,23,4900000
Chris Führich,72.5,74.28571428571429,ST,57.5,61.5,60.875,69.0,178,69,23,4800000
Mohamed Bayo,75.0,65.28571428571429,ST,21.5,58.0,68.625,55.333333333333336,188,76,23,6000000
M'Bala Nzola,69.5,74.71428571428571,ST,22.0,58.333333333333336,64.0,60.666666666666664,185,82,25,4000000
Eldor Shomurodov,72.0,72.57142857142857,ST,32.5,56.833333333333336,67.5,60.0,190,76,26,2500000
Masaya Okugawa,78.0,66.28571428571429,ST,37.0,58.166666666666664,63.25,68.66666666666667,177,62,25,4000000
Carlitos,73.0,76.42857142857143,ST,18.5,67.5,70.375,65.0,177,71,31,2000000
Ibrahima Niane,72.0,71.42857142857143,ST,13.5,51.833333333333336,66.75,52.666666666666664,187,73,22,7000000
Nahuel Bustos,74.0,77.14285714285714,ST,31.0,61.833333333333336,68.75,65.66666666666667,176,64,23,7000000
Patrick Cutrone,71.5,71.0,ST,28.0,59.0,65.875,52.0,183,79,23,4700000
Arnaud Nordin,38.0,27.571428571428573,ST,34.5,44.833333333333336,62.25,44.333333333333336,170,69,23,4600000
Irvin Cardona,73.5,71.57142857142857,ST,22.0,56.333333333333336,69.875,62.666666666666664,185,76,24,4400000
Ben Brereton Díaz,74.0,71.42857142857143,ST,39.0,64.0,63.375,61.333333333333336,188,75,22,6000000
Olowu Kobayashi,72.5,71.42857142857143,ST,24.0,60.833333333333336,68.375,66.0,177,72,34,1900000
Christian Bassogog,0.0,83.42857142857143,ST,39.0,37.666666666666664,58.75,20.0,173,72,26,
Rodolfo Pittaça,66.5,64.71428571428571,ST,40.0,69.16666666666667,70.125,70.0,179,77,21,3600000
Nuno Lisareda,73.0,71.42857142857143,ST,25.0,61.166666666666664,68.125,55.0,190,88,21,3600000
